Wavelength,Sky NO MOON+Th,Sky ALL+Th,Sky NO MOON,Sky ALL
390.0,52.69068854000015,261.53277374000015,52.69068854000015,261.53277374000015
390.02,67.88018569500016,336.60900179500015,67.88018569500016,336.60900179500015
390.04,78.50892429400014,388.9076367940001,78.50892429400014,388.9076367940001
390.06,84.37218981000022,417.56045521000016,84.37218981000022,417.56045521000016
390.08,86.92761411000016,430.00686631000013,86.92761411000016,430.00686631000013
390.1,87.82720352999999,434.63320153,87.82720352999999,434.63320153
390.12,88.12275841,436.76556861,88.12275841,436.76556861
390.14,88.27076826000001,438.66244565999995,88.27076826000001,438.66244565999995
390.16,88.40793532,440.88446941999996,88.40793532,440.88446941999996
390.18,88.552379,443.31750769999996,88.552379,443.31750769999996
390.2,88.68887162,445.62990182,88.68887162,445.62990182
390.22,88.79537689,447.44246769000006,88.79537689,447.44246769000006
390.24,88.85110788,448.40637738,88.85110788,448.40637738
390.26,88.84008275,448.25459924999996,88.84008275,448.25459924999996
390.28,88.75390851000002,446.84695141,88.75390851000002,446.84695141
390.3,88.5943862,444.21362270000003,88.5943862,444.21362270000003
390.32,88.37519734000004,440.58333224,88.37519734000004,440.58333224
390.34,88.12077855999999,436.36449946000005,88.12077855999999,436.36449946000005
390.36,87.86174613386379,432.0660557338638,87.86174613386379,432.0660557338638
390.38,87.629010069334,428.186970769334,87.629010069334,428.186970769334
390.4,87.45358340250999,425.12004830251004,87.45358340250999,425.12004830251004
390.42,87.38870373682,423.10844323682,87.38870373682,423.10844323682
390.44,87.59568855949999,422.3089200595,87.59568855949999,422.3089200595
390.46,88.531320322,423.0024375219999,88.531320322,423.0024375219999
390.48,91.13522520800001,425.833312608,91.13522520800001,425.833312608
390.5,96.625893445,431.665201045,96.625893445,431.665201045
390.52,105.54589585,440.68894635,105.54589585,440.68894635
390.54,116.59505057,451.32155557,116.59505057,451.32155557
390.56,126.67293513000001,460.31047673,126.67293513000001,460.31047673
390.58,132.60744595,464.5025111499999,132.60744595,464.5025111499999
390.6,133.04130046,462.73183416,133.04130046,462.73183416
390.62,128.87251195,456.22215525,128.87251195,456.22215525
390.64,122.43310690999999,447.7038610099999,122.43310690999999,447.7038610099999
390.66,116.39641883,440.25567903,116.39641883,440.25567903
390.68,112.88568228,436.3543729800001,112.88568228,436.3543729800001
390.7,112.95708142000001,437.30624142,112.95708142000001,437.30624142
390.72,116.39689124,443.00042304000004,116.39689124,443.00042304000004
390.74,121.532344,451.6952584,121.532344,451.6952584
390.76,125.65825623,460.45218062999993,125.65825623,460.45218062999993
390.78,126.99577076,467.13330316,126.99577076,467.13330316
390.8,126.57665494,472.35055674000006,126.57665494,472.35055674000006
390.82,127.14134311000001,478.44431101,127.14134311000001,478.44431101
390.84,129.82753769,486.24493838999996,129.82753769,486.24493838999996
390.86,132.81085915,493.75444025,132.81085915,493.75444025
390.88,133.63387527,498.47564697,133.63387527,498.47564697
390.9,132.20437327000002,500.37539337,132.20437327000002,500.37539337
390.92,130.60757203,501.64173322999994,130.60757203,501.64173322999994
390.94,129.98800876,503.51187246,129.98800876,503.51187246
390.96,128.77628113,504.46329723,128.77628113,504.46329723
390.98,124.86097383999999,502.37783473999997,124.86097383999999,502.37783473999997
391.0,118.9564939,497.9307693,118.9564939,497.9307693
391.02,114.7908808,494.81788420000004,114.7908808,494.81788420000004
391.04,115.69140656,496.37692536000003,115.69140656,496.37692536000003
391.06,121.24814379,502.26844359,121.24814379,502.26844359
391.08,127.44028442000001,508.60025932,127.44028442000001,508.60025932
391.1,129.95089131,511.22625191,129.95089131,511.22625191
391.12,127.51235704999999,509.06517395,127.51235704999999,509.06517395
